Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
U. Gómez,Athletic Club,280,216,16,3,23,1,1277,10,
MRM. Román,Celta Vigo,0,0,0,0,0,0,0,0,
A. Osambela,Osasuna,0,0,0,0,0,0,0,0,
L. Yamal,Barcelona,1414,1116,62,13,108,28,2861,65,
Y. Enríquez,Deportivo Alavés,0,0,0,0,0,0,0,0,
P. Canales,Athletic Club,97,85,5,0,16,1,259,6,
M. Jauregizar,Athletic Club,1089,897,115,1,27,2,2243,23,
E. Buján,Athletic Club,4,4,0,0,1,0,10,0,
M. Bernal,Barcelona,160,148,10,0,0,0,243,1,
OOso,Sevilla,0,0,0,0,0,0,0,0,
JSJ. Salas,Mallorca,25,20,0,0,1,0,44,0,
M. Domenech,Mallorca,45,32,2,0,4,0,305,5,
LNL. Núñez,Valencia,0,0,0,0,0,0,0,0,
