Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
J. Carreras,Espanyol,3,2,40.0,11,3,2191,2.5117,2.532,1.828,
N. Serrano,Athletic Club,0,0,5.0,1,0,116,0.1618,0.161,0.0506,
U. González,Espanyol,2,1,4.0,2,0,1425,0.5469,0.545,0.8182,
A. Zakharyan,Real Sociedad,0,0,4.0,2,1,71,0.1954,0.195,0.1337,
A. Rebbach,Deportivo Alavés,0,0,6.0,1,0,383,0.1715,0.171,0.4186,
P. Torre,Mallorca,1,1,6.0,4,3,315,0.3702,0.37,1.2791,
P. Ibáñez,Deportivo Alavés,1,2,20.0,5,1,1307,1.5385,1.58,0.3356,
N. Williams,Athletic Club,5,6,54.0,19,5,1998,4.0242,4.18,4.1442,
R. Terrats,Espanyol,1,4,21.0,9,4,1374,2.1338,2.227,1.3975,
I. Akhomach,Rayo Vallecano,0,1,17.0,6,1,587,0.5706,0.565,1.684,
A. Güler,Real Madrid,4,11,39.0,17,3,1273,3.2328,3.277,4.4397,
A. Roca,Espanyol,1,2,10.0,4,0,1042,0.8718,0.872,1.0404,
G. Simeone,Atlético Madrid,6,13,22.0,7,2,1950,2.1998,2.211,4.6813,
Gavi,Barcelona,1,2,11.0,1,1,1104,0.8815,0.883,1.4903,
I. Muñoz,Osasuna,1,1,11.0,0,0,618,0.4339,0.467,0.6886,
H. Sotelo,Celta Vigo,0,4,4.0,0,0,1269,0.1928,0.194,1.8276,
J. Guerra,Valencia,3,6,47.0,10,3,2593,2.2084,2.161,3.2105,
W. Swedberg,Celta Vigo,5,3,32.0,15,4,1347,5.307,5.284,2.2394,
S. Altimira,Real Betis,1,2,21.0,4,0,1977,1.7528,1.729,1.1486,
P. Marín,Real Sociedad,2,3,21.0,7,1,1261,1.4196,1.4,0.7612,
M. Bueno,Sevilla,0,0,4.0,1,1,144,0.1534,0.126,0.0556,
P. Barrios,Atlético Madrid,4,6,29.0,8,1,2336,1.2941,1.361,2.0334,
DJD. Jiménez,Real Madrid,0,0,,0,0,0,0.0,,0.0,
J. Garcia,Osasuna,0,0,,0,0,0,0.0,,0.0,
F. López,Barcelona,5,8,41.0,16,6,1255,5.6664,5.635,4.2692,
M. Martín,Getafe,1,3,28.0,13,0,1761,1.7599,1.751,1.2173,
H. Álvarez,Celta Vigo,3,2,25.0,9,4,1570,2.4646,2.465,2.0593,
J. Llabrés,Mallorca,0,0,1.0,0,0,58,0.0477,0.048,0.1282,
J. El-Abdellaoui,Celta Vigo,0,0,,0,0,0,0.0,,0.0,
U. Gómez,Athletic Club,3,1,19.0,4,1,1277,1.8484,1.856,0.8257,
MRM. Román,Celta Vigo,0,0,,0,0,0,0.0,,0.0,
A. Osambela,Osasuna,0,0,,0,0,0,0.0,,0.0,
L. Yamal,Barcelona,13,28,144.0,47,9,2861,9.8122,9.89,11.6123,
Y. Enríquez,Deportivo Alavés,0,0,,0,0,0,0.0,,0.0,
P. Canales,Athletic Club,0,1,3.0,0,0,259,0.1898,0.19,0.2333,
M. Jauregizar,Athletic Club,1,2,21.0,8,2,2243,1.0798,1.071,1.1621,
E. Buján,Athletic Club,0,0,,0,0,10,0.0,,0.0,
M. Bernal,Barcelona,0,0,2.0,1,0,243,0.0672,0.067,0.0846,
OOso,Sevilla,0,0,,0,0,0,0.0,,0.0,
JSJ. Salas,Mallorca,0,0,2.0,0,0,44,0.0434,0.057,0.0843,
M. Domenech,Mallorca,0,0,8.0,2,0,305,0.6839,0.728,0.27,
LNL. Núñez,Valencia,0,0,,0,0,0,0.0,,0.0,
