Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
J. De Busser,Go Ahead Eagles,32,1440,959,0,,0,0,0.0,,0.0261,0,12,0,5,0,7,663,471,274,0,0,0,67,Goalkeeper
J. Schendelaar,PEC Zwolle,30,2700,960,2,,0,0,0.0,,0.0362,0,28,0,16,0,23,1017,610,583,0,2,2,100,Goalkeeper
F. de Keijzer,Heracles Almelo,34,3060,961,1,,0,0,0.0,,0.4074,1,29,0,8,0,12,1217,745,777,0,0,4,129,Goalkeeper
M. Spenkelink,RKC Waalwijk,13,360,962,0,,0,0,0.0,,0.0,0,2,0,0,0,0,159,111,73,0,0,0,12,Goalkeeper
L. Plogmann,Go Ahead Eagles,34,1620,963,0,,0,0,0.0,,0.0056,0,25,0,8,0,9,658,488,251,0,0,0,49,Goalkeeper
IEI. El Maach,FC Twente,17,0,964,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
R. Mantel,Heracles Almelo,25,0,965,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
NBN. Bakker,SC Heerenveen,34,3051,966,0,1.0,0,0,0.026,0.026,0.2305,0,71,0,11,0,11,1121,516,890,0,0,0,119,Goalkeeper
B. Minnema,SC Cambuur,1,0,967,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
C. van den Berg,Vitesse,38,0,968,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
R. Janse,NEC Nijmegen,35,0,969,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
D. Deen,AZ Alkmaar,10,0,970,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
T. Jansen,SC Cambuur,1,120,971,0,,0,0,0.0,,0.0,0,1,0,0,0,0,59,37,34,1,0,0,2,Goalkeeper
S. Jansen,Go Ahead Eagles,17,0,972,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
N. Verdoni,Go Ahead Eagles,20,0,973,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
N. Schiks,PSV Eindhoven,30,0,974,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
T. de Graaff,PEC Zwolle,32,0,975,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
R. Jayden Owusu-Oduro,AZ Alkmaar,30,2700,976,0,,0,0,0.0,,0.0077,3,23,2,7,0,14,809,539,425,0,0,0,56,Goalkeeper
K. Gadellaa,FC Utrecht,3,0,977,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
T. Jansink,Heracles Almelo,34,0,978,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
D. Baron,FC Groningen,27,0,979,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
B. Klaverboer,SC Heerenveen,21,7,980,0,,0,0,0.0,,0.0,0,1,0,0,0,0,3,2,2,0,0,0,2,Goalkeeper
J. Meijster,SC Cambuur,8,0,981,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
S. Karssies,FC Twente,24,0,982,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
D. Verduin,PEC Zwolle,2,0,983,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
N. Martens,Fortuna Sittard,18,0,984,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
L. Vogels,RKC Waalwijk,11,0,985,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
DTD. Tevreden,Vitesse,11,0,986,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
R. Bayram,Fortuna Sittard,20,0,987,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
YGY. Gerritsen,FC Twente,4,0,988,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
