Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
P. Vroegh,RKC Waalwijk,30,41,1043,0,1.0,0,0,0.0614,0.061,0.0,4,2,2,0,1,4,21,16,5,3,0,0,Midfielder
R. Meerveld,SC Heerenveen,37,3293,1044,3,39.0,15,6,2.2665,2.35,3.0653,27,30,14,6,20,174,1330,1182,90,36,5,37,Midfielder
Y. Regeer,AFC Ajax,25,1466,1045,1,19.0,5,1,1.5028,1.504,2.9931,30,27,18,27,8,87,864,726,71,30,5,22,Midfielder
B. Limbombe,Heracles Almelo,20,365,1046,0,11.0,3,0,0.6313,0.632,0.6934,2,3,0,2,6,19,83,63,4,15,1,3,Midfielder
A. Engwanda,FC Utrecht,24,1277,1047,0,5.0,0,0,0.0675,0.068,0.3074,45,29,28,17,2,73,480,408,35,10,0,3,Midfielder
D. van den Berg,FC Utrecht,33,2235,1048,3,49.0,14,4,2.9444,2.875,2.102,37,51,21,21,8,92,1045,898,78,57,4,29,Midfielder
K. Fitz-Jim,AFC Ajax,33,1229,1049,1,23.0,9,2,2.1302,2.143,2.1808,26,11,10,4,7,63,607,516,34,10,0,12,Midfielder
S. Mito,Sparta Rotterdam,32,1511,1050,0,45.0,18,5,5.1803,5.181,1.5211,29,19,12,16,10,82,369,287,30,46,2,15,Midfielder
T. Rölke,SC Cambuur,1,80,1051,0,2.0,0,0,0.0,,0.0,0,0,1,0,1,0,12,9,1,0,0,0,Midfielder
Y. Oukili,Fortuna Sittard,33,2223,1052,3,45.0,14,6,4.5765,4.536,1.8128,67,44,23,46,15,159,794,631,61,11,3,30,Midfielder
SLS. Lagsir,PEC Zwolle,2,2,1053,0,1.0,1,0,0.0266,0.027,0.0,0,0,0,0,0,0,2,1,1,0,0,0,Midfielder
Z. Iqbal,FC Utrecht,23,1456,1054,0,16.0,5,1,0.5545,0.574,1.8421,22,19,18,3,8,61,834,742,77,8,2,16,Midfielder
