Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
R. Weijenberg,Go Ahead Eagles,0,1,3.0,0,0,344,0.7606,0.76,0.5681,
T. Schenkhuizen,Fortuna Sittard,0,0,1.0,0,0,5,0.0449,0.045,0.0058,
D. Mathieu,Willem II Tilburg,0,0,,0,0,0,0.0,,0.0,
S. Ouaissa,NEC Nijmegen,2,7,33.0,14,7,1970,4.1227,4.344,3.6649,
RBR. Bounida,AFC Ajax,0,0,,0,0,13,0.0,,0.0,
K. Smit,AZ Alkmaar,0,3,22.0,4,0,1152,1.112,1.15,1.4907,
A. Lachkar,Willem II Tilburg,2,0,16.0,5,0,2130,0.7145,0.765,0.7848,
J. Schreuders,FC Groningen,1,2,20.0,12,5,1960,2.3878,2.339,3.0475,
G. Zechiël,Feyenoord,3,4,20.0,5,2,1282,2.1769,2.088,1.6965,
G. Besselink,Willem II Tilburg,0,0,,0,0,389,0.0,,0.1081,
T. Land,FC Groningen,0,0,1.0,0,0,41,0.0416,0.042,0.0275,
M. Witteveen,RKC Waalwijk,0,0,,0,0,0,0.0,,0.0,
ASA. Sliti,Feyenoord,0,0,4.0,3,1,90,0.3835,0.387,0.1529,
N. Fichtinger,PEC Zwolle,0,0,8.0,2,0,851,0.246,0.246,0.5495,
HKH. Kuster,RKC Waalwijk,0,0,1.0,1,0,21,0.0452,0.045,0.0,
IHI. Henstra,SC Cambuur,0,0,1.0,0,0,15,0.0,,0.0,
J. Mokio,AFC Ajax,0,0,7.0,1,1,505,0.9071,0.907,0.3556,
KBK. Boogaard,AZ Alkmaar,0,0,,0,0,0,0.0,,0.0,
M. Linday,SC Heerenveen,2,1,10.0,4,2,1357,1.2579,1.261,1.318,
AOA. Oufkir,AZ Alkmaar,1,0,1.0,0,0,50,0.0685,0.069,0.1096,
IAI. Ahmed,SC Heerenveen,0,0,,0,0,8,0.0,,0.0,
SSS. Steur,AFC Ajax,0,0,,0,0,10,0.0,,0.0,
D. van der Werff,FC Groningen,0,0,2.0,1,0,22,0.2031,0.203,0.1576,
GRG. Reiziger,PEC Zwolle,0,0,,0,0,0,0.0,,0.0,
L. Tunjić,Fortuna Sittard,1,0,9.0,3,1,481,0.7644,0.79,0.6068,
HKH. Korkmazyürek,Fortuna Sittard,0,0,1.0,0,0,4,0.0796,0.08,0.0,
T. van den Elshout,Feyenoord,0,0,,0,0,0,0.0,,0.0,
UvU. van Aalst,Willem II Tilburg,0,1,1.0,0,0,37,0.0,,0.0122,
DVD. Visser,SC Cambuur,0,0,,0,0,0,0.0,,0.0,
ABA. Burak Sayin,Fortuna Sittard,0,0,,0,0,3,0.0,,0.0,
