Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
KBK. Boogaard,AZ Alkmaar,0,0,0,0,0,0,0,0,
M. Linday,SC Heerenveen,745,630,43,2,4,1,1357,8,
AOA. Oufkir,AZ Alkmaar,21,13,3,1,10,0,50,3,
IAI. Ahmed,SC Heerenveen,4,2,0,0,0,0,8,0,
SSS. Steur,AFC Ajax,3,2,0,0,0,0,10,0,
D. van der Werff,FC Groningen,5,5,0,0,2,0,22,1,
GRG. Reiziger,PEC Zwolle,0,0,0,0,0,0,0,0,
L. Tunjić,Fortuna Sittard,124,101,9,1,28,0,481,12,
HKH. Korkmazyürek,Fortuna Sittard,2,2,1,0,0,0,4,0,
T. van den Elshout,Feyenoord,0,0,0,0,0,0,0,0,
UvU. van Aalst,Willem II Tilburg,15,10,0,0,0,1,37,2,
DVD. Visser,SC Cambuur,0,0,0,0,0,0,0,0,
ABA. Burak Sayin,Fortuna Sittard,1,1,0,0,0,0,3,1,
