Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
MSM. Sarr,RC Strasbourg,14,1239,2147,1,4.0,0,0,0.7442,0.744,0.2213,19,69,9,18,1,45,910,861,43,1,1,2,Defender
S. Kumbedi,Olympique Lyonnais,26,965,2148,0,4.0,2,0,0.307,0.306,0.8049,28,30,8,3,2,50,438,378,13,14,0,5,Defender
A. Sylla,Nantes,30,951,2149,0,5.0,1,1,0.4232,0.423,0.1004,27,63,11,20,4,57,645,575,44,1,0,1,Defender
J. Ekomie,Angers,27,707,2150,0,1.0,0,0,0.0188,0.019,0.0594,21,13,4,11,1,56,168,129,15,23,0,0,Defender
Y. Mouanga,Bordeaux,22,939,2151,0,1.0,0,0,0.1028,0.103,0.081,14,45,10,14,0,38,472,417,47,2,1,2,Defender
K. Ouattara,AS Monaco,25,400,2152,1,2.0,1,0,0.1556,0.156,1.2677,9,2,5,4,0,20,155,124,12,17,3,6,Defender
N. Čelik,RC Lens,9,0,2153,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
Y. Zague,Paris Saint-Germain,22,183,2154,0,1.0,1,0,0.0507,0.051,0.1019,8,2,2,1,0,11,164,157,3,4,0,2,Defender
C. Mawissa,AS Monaco,31,1521,2155,0,1.0,1,0,0.0655,0.065,0.0955,42,45,26,31,0,90,922,811,51,3,0,1,Defender
E. Biumla,Angers,21,1334,2156,0,4.0,2,1,0.7012,0.726,0.0593,19,81,8,17,0,52,495,439,43,0,0,1,Defender
J. Jacquet,Stade Rennais,12,929,2157,1,8.0,3,0,0.7191,0.782,0.6422,26,43,27,19,0,56,491,416,46,3,1,4,Defender
L. Raolisoa,Angers,29,1318,2158,3,14.0,1,0,0.6757,0.703,1.6006,41,43,15,15,2,87,418,321,44,76,3,14,Defender
M. Bombito,Nice,27,2195,2159,0,8.0,1,0,0.862,0.723,0.5468,37,118,18,49,2,110,1398,1263,122,2,0,2,Defender
S. Sané,Metz,3,300,2160,0,,0,0,0.0,,0.0,7,13,3,5,0,18,208,191,19,1,0,2,Defender
NEN. El Hannach,Montpellier,3,0,2161,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
L. Zogbé,Stade Brestois,30,644,2162,0,8.0,1,0,0.2772,0.278,0.1388,32,22,14,12,3,59,255,213,24,14,0,4,Defender
H. Sekine,Stade de Reims,18,1016,2163,0,5.0,0,0,0.1299,0.139,0.4705,10,50,6,14,2,36,453,376,47,24,0,6,Defender
L. Mincarelli Davin,Montpellier,16,714,2164,0,7.0,2,1,0.4444,0.635,0.6316,17,26,9,5,1,28,333,284,36,21,1,3,Defender
KAK. Antonio,RC Lens,6,139,2165,0,1.0,0,0,0.0527,0.053,0.0058,3,3,3,2,0,9,88,75,9,2,0,0,Defender
A. Kone,Stade de Reims,10,131,2166,0,,0,0,0.0,,0.0,5,5,1,2,0,11,48,32,7,0,0,0,Defender
NKN. Kamara,Olympique Lyonnais,3,75,2167,0,,0,0,0.0,,0.0107,1,0,1,2,0,3,74,69,7,0,0,0,Defender
TBT. Barišić,Olympique Lyonnais,2,1,2168,0,,0,0,0.0,,0.0,0,1,0,0,0,0,1,1,0,0,0,0,Defender
W. Ndollo Bille,Montpellier,9,402,2169,0,,0,0,0.0,,0.1342,6,6,7,1,0,16,150,124,11,6,0,1,Defender
SLS. Lung,RC Strasbourg,1,0,2170,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
