Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
H. Roberts,Reading,42,1679,539,1,8.0,3,1,0.2515,0.281,2.1226,18,44,12,43,2,85,671,491,92,58,2,22,Defender
L. McNally,Bristol City,30,2326,540,1,29.0,8,3,2.6565,2.56,0.3105,43,157,34,106,6,162,1120,874,128,2,0,9,Defender
M. McGuinness,Sheffield United,43,3754,541,3,47.0,9,3,3.6824,3.64,1.6701,47,273,51,217,12,291,1517,1153,258,1,3,8,Defender
M. Talovierov,Stoke City,11,934,542,1,3.0,1,1,0.2182,0.158,0.1164,28,69,8,32,0,64,323,242,74,3,1,2,Defender
M. Jacob,Hull City,26,445,543,0,6.0,4,1,0.3954,0.368,0.2882,9,33,5,15,0,29,223,157,37,5,0,2,Defender
C. Drameh,Hull City,40,1662,544,1,13.0,1,1,0.4431,0.445,1.5298,74,69,19,25,6,139,1032,865,94,27,2,15,Defender
D. McNamara,Millwall,22,698,545,0,1.0,1,0,0.0214,0.021,0.3706,16,28,11,12,0,37,193,144,38,5,1,2,Defender
F. Burns,Reading,27,322,546,0,,0,0,0.0,,0.0134,5,15,9,8,0,14,122,100,14,0,0,0,Defender
E. Cashin,Blackburn Rovers,21,1788,547,0,16.0,7,1,1.6434,1.758,0.5221,51,95,43,70,2,143,1029,814,238,7,1,4,Defender
A. Famewo,Hull City,14,942,548,1,4.0,1,0,0.2982,0.298,0.6474,17,41,24,27,1,59,468,375,67,0,0,2,Defender
B. Lawal,Stoke City,20,211,549,0,1.0,0,0,0.1317,0.1,0.1456,4,9,1,4,0,15,55,42,8,1,1,2,Defender
R. Edwards,Queens Park Rangers,21,1819,550,0,13.0,3,2,1.711,1.712,0.2531,26,122,26,45,3,87,1029,892,102,2,0,5,Defender
E. Bocat,Stoke City,33,2046,551,1,17.0,4,0,0.7613,0.767,2.01,42,92,31,24,7,102,800,606,89,61,4,15,Defender
