,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
47,1988,Forward,Liga Portugal 2,A. Carter,SC Farense,4,334,1,7.0,2,1,0,5,0,13,3,18,79,52,6,0,0,4,0.0,0.27,0.27,2,0.54,1.89,0.54,4.85,21.29,14.01,1.62,0.0,0.0,1.08,0.0,1.35,0.0,3.5,0.81,0.0
48,1989,Forward,Liga Portugal 2,Roberto,Chaves,5,337,0,9.0,3,0,1,4,0,9,2,15,67,39,0,0,0,4,0.0,0.0,0.0,0,0.0,2.4,0.8,4.01,17.89,10.42,0.0,0.0,0.0,1.07,0.27,1.07,0.0,2.4,0.53,0.0
50,1991,Forward,Liga Portugal 2,A. Rodrigues,Chaves,2,161,0,2.0,0,0,4,1,0,3,1,14,44,38,3,0,1,1,0.0,0.0,0.0,0,0.0,1.12,0.0,7.83,24.6,21.24,1.68,0.0,0.56,0.56,2.24,0.56,0.0,1.68,0.56,0.0
51,1992,Forward,Liga Portugal 2,A. Clóvis,Académico Viseu FC,4,197,0,7.0,2,0,0,2,0,6,5,11,40,26,1,2,0,1,0.0,0.0,0.0,0,0.0,3.2,0.91,5.03,18.27,11.88,0.46,0.91,0.0,0.46,0.0,0.91,0.0,2.74,2.28,0.0
57,1998,Forward,Liga Portugal 2,Paulité,Leixões SC,2,93,0,0.0,0,0,0,0,0,1,0,3,10,7,1,3,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,2.9,9.68,6.77,0.97,2.9,0.0,0.97,0.0,0.0,0.0,0.97,0.0,0.0
58,1999,Forward,Liga Portugal 2,T. Monteiro,Rio Ave,6,450,0,9.0,4,2,1,6,1,19,2,33,92,66,3,0,1,6,0.0,0.4,0.0,2,0.4,1.8,0.8,6.6,18.4,13.2,0.6,0.0,0.2,1.2,0.2,1.2,0.2,3.8,0.4,0.0
60,2001,Forward,Liga Portugal 2,Werton,Leixões SC,2,135,0,3.0,2,1,0,0,1,0,0,7,34,27,3,4,1,1,0.0,0.67,0.0,1,0.67,2.0,1.33,4.67,22.67,18.0,2.0,2.67,0.67,0.67,0.0,0.0,0.67,0.0,0.0,0.0
62,2003,Forward,Liga Portugal 2,LVL. Vonić,FC Porto B,3,213,0,6.0,5,3,5,1,0,2,0,12,44,34,3,0,1,3,0.0,1.27,0.0,3,1.27,2.54,2.11,5.07,18.59,14.37,1.27,0.0,0.42,1.27,2.11,0.42,0.0,0.85,0.0,0.0
64,2005,Forward,Liga Portugal 2,T. Andrade,FC Porto B,5,193,0,2.0,2,0,1,3,1,2,0,13,70,44,12,14,0,1,0.0,0.0,0.0,0,0.0,0.93,0.93,6.06,32.64,20.52,5.6,6.53,0.0,0.47,0.47,1.4,0.47,0.93,0.0,0.0
67,2008,Forward,Liga Portugal 2,TMT. Melnichenko,FC Porto B,4,267,1,5.0,1,1,1,5,0,9,3,22,60,36,3,2,1,4,0.0,0.34,0.34,2,0.67,1.69,0.34,7.42,20.22,12.13,1.01,0.67,0.34,1.35,0.34,1.69,0.0,3.03,1.01,0.0
70,2011,Forward,Liga Portugal 2,A. Candé,FC Porto B,5,163,0,3.0,1,0,0,3,1,1,1,5,15,9,0,0,0,1,0.0,0.0,0.0,0,0.0,1.66,0.55,2.76,8.28,4.97,0.0,0.0,0.0,0.55,0.0,1.66,0.55,0.55,0.55,0.0
75,2016,Goalkeeper,Liga Portugal 2,Vozinha,Chaves,5,450,0,0.0,0,0,0,5,0,5,0,7,157,113,70,0,0,0,15.0,0.0,0.0,0,0.0,0.0,0.0,1.4,31.4,22.6,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
76,2017,Goalkeeper,Liga Portugal 2,B. Brígido,CF Estrela Amadora,1,90,0,0.0,0,0,0,0,0,0,0,0,27,21,12,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,27.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,2019,Goalkeeper,Liga Portugal 2,M. Fraisl,CD Mafra,5,450,0,0.0,0,0,0,6,0,2,0,3,147,97,91,0,0,0,16.0,0.0,0.0,0,0.0,0.0,0.0,0.6,29.4,19.4,18.2,0.0,0.0,0.0,0.0,1.2,0.0,0.4,0.0,3.2
79,2020,Goalkeeper,Liga Portugal 2,I. Stefanović,Leixões SC,4,180,0,0.0,0,0,0,3,0,2,0,2,36,19,20,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,18.0,9.5,10.0,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.5
81,2022,Goalkeeper,Liga Portugal 2,NMN. Macedo,Académica Coimbra,2,90,0,0.0,0,0,0,0,0,0,0,0,38,28,11,0,0,0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
83,2024,Goalkeeper,Liga Portugal 2,D. Gril,Académico Viseu FC,3,180,0,0.0,0,0,0,4,0,2,0,2,72,42,42,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0.0,1.0,36.0,21.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
85,2026,Goalkeeper,Liga Portugal 2,M. Baldé,Penafiel,3,270,0,0.0,0,0,0,6,0,1,0,1,70,43,37,0,0,0,8.0,0.0,0.0,0,0.0,0.0,0.0,0.33,23.33,14.33,12.33,0.0,0.0,0.0,0.0,2.0,0.0,0.33,0.0,2.67
86,2027,Goalkeeper,Liga Portugal 2,G. Tabuaço,Leixões SC,5,450,0,0.0,0,0,0,13,1,6,0,8,168,124,74,0,0,1,12.0,0.0,0.0,0,0.0,0.0,0.0,1.6,33.6,24.8,14.8,0.0,0.0,0.2,0.0,2.6,0.2,1.2,0.0,2.4
87,2028,Goalkeeper,Liga Portugal 2,G. Ribeiro,FC Porto B,5,450,0,0.0,0,0,1,24,0,1,0,4,130,86,62,0,0,0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.8,26.0,17.2,12.4,0.0,0.0,0.0,0.2,4.8,0.0,0.2,0.0,2.0
89,2030,Goalkeeper,Liga Portugal 2,M. Sampaio,Académico Viseu FC,3,90,0,0.0,0,0,0,2,0,1,0,1,27,14,19,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.0,27.0,14.0,19.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
92,2033,Midfielder,Liga Portugal 2,M. Paulo,Académica Coimbra,6,493,0,3.0,0,0,7,16,5,6,1,24,212,174,25,3,0,5,0.0,0.0,0.0,0,0.0,0.55,0.0,4.38,38.7,31.76,4.56,0.55,0.0,0.91,1.28,2.92,0.91,1.1,0.18,0.0
94,2035,Midfielder,Liga Portugal 2,D. Candeias,Académica Coimbra,2,172,1,2.0,1,0,2,0,1,1,1,3,57,32,6,16,2,5,0.0,0.0,0.52,1,0.52,1.05,0.52,1.57,29.83,16.74,3.14,8.37,1.05,2.62,1.05,0.0,0.52,0.52,0.52,0.0
95,2036,Midfielder,Liga Portugal 2,A. Santos,Varzim SC,3,247,0,0.0,0,0,1,1,2,2,0,9,100,70,16,1,0,4,0.0,0.0,0.0,0,0.0,0.0,0.0,3.28,36.44,25.51,5.83,0.36,0.0,1.46,0.36,0.36,0.73,0.73,0.0,0.0
96,2037,Midfielder,Liga Portugal 2,A. André,Leixões SC,4,279,1,0.0,0,0,2,3,3,4,0,17,96,86,7,1,0,2,0.0,0.0,0.32,1,0.32,0.0,0.0,5.48,30.97,27.74,2.26,0.32,0.0,0.65,0.65,0.97,0.97,1.29,0.0,0.0
98,2039,Midfielder,Liga Portugal 2,R. Pinto,CD Mafra,4,132,0,0.0,0,0,1,1,0,1,0,3,49,36,8,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.05,33.41,24.55,5.45,0.0,0.0,0.0,0.68,0.68,0.0,0.68,0.0,0.0
100,2041,Midfielder,Liga Portugal 2,A. Simões,Leixões SC,4,154,0,0.0,0,0,10,6,2,2,0,15,60,40,8,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.77,35.06,23.38,4.68,0.0,0.0,0.0,5.84,3.51,1.17,1.17,0.0,0.0
102,2043,Midfielder,Liga Portugal 2,VGV. Gonçalves,CD Mafra,3,143,0,1.0,0,0,1,3,0,3,1,5,51,44,5,8,0,1,0.0,0.0,0.0,0,0.0,0.63,0.0,3.15,32.1,27.69,3.15,5.03,0.0,0.63,0.63,1.89,0.0,1.89,0.63,0.0
103,2044,Midfielder,Liga Portugal 2,Reko,Penafiel,3,124,0,0.0,0,0,1,2,0,1,0,5,30,22,6,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.63,21.77,15.97,4.35,0.73,0.0,0.0,0.73,1.45,0.0,0.73,0.0,0.0
104,2045,Midfielder,Liga Portugal 2,Y. Semedo,SC Farense,5,438,1,12.0,3,1,7,7,8,4,2,20,311,245,44,37,4,20,0.0,0.21,0.21,2,0.41,2.47,0.62,4.11,63.9,50.34,9.04,7.6,0.82,4.11,1.44,1.44,1.64,0.82,0.41,0.0
105,2046,Midfielder,Liga Portugal 2,H. Evrard,Leixões SC,4,184,0,1.0,1,0,1,4,4,2,0,6,67,60,8,0,0,1,0.0,0.0,0.0,0,0.0,0.49,0.49,2.93,32.77,29.35,3.91,0.0,0.0,0.49,0.49,1.96,1.96,0.98,0.0,0.0
106,2047,Midfielder,Liga Portugal 2,C. Kahraman,Académico Viseu FC,4,166,0,2.0,1,0,1,1,1,1,1,5,83,72,5,2,0,0,0.0,0.0,0.0,0,0.0,1.08,0.54,2.71,45.0,39.04,2.71,1.08,0.0,0.0,0.54,0.54,0.54,0.54,0.54,0.0
108,2049,Midfielder,Liga Portugal 2,A. Ceitil,Académico Viseu FC,5,272,0,1.0,0,0,10,15,2,10,0,24,106,75,17,1,0,0,0.0,0.0,0.0,0,0.0,0.33,0.0,7.94,35.07,24.82,5.62,0.33,0.0,0.0,3.31,4.96,0.66,3.31,0.0,0.0
111,2052,Midfielder,Liga Portugal 2,Robinho,Académico Viseu FC,1,90,0,1.0,1,1,0,1,2,4,0,5,33,22,2,1,0,0,0.0,1.0,0.0,1,1.0,1.0,1.0,5.0,33.0,22.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0
112,2053,Midfielder,Liga Portugal 2,D. Andrade,FC Porto B,3,270,0,5.0,1,0,5,10,2,7,3,19,127,104,19,1,0,2,0.0,0.0,0.0,0,0.0,1.67,0.33,6.33,42.33,34.67,6.33,0.33,0.0,0.67,1.67,3.33,0.67,2.33,1.0,0.0
113,2054,Midfielder,Liga Portugal 2,S. Messeguem,Académico Viseu FC,4,241,0,0.0,0,0,8,5,2,1,0,14,74,66,11,1,0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,5.23,27.63,24.65,4.11,0.37,0.0,0.75,2.99,1.87,0.75,0.37,0.0,0.0
114,2055,Midfielder,Liga Portugal 2,A. Marcus,CF Estrela Amadora,5,368,1,6.0,0,0,6,4,0,6,4,32,108,88,8,21,2,7,0.0,0.0,0.24,1,0.24,1.47,0.0,7.83,26.41,21.52,1.96,5.14,0.49,1.71,1.47,0.98,0.0,1.47,0.98,0.0
115,2056,Midfielder,Liga Portugal 2,P. Pinho,Chaves,5,388,0,6.0,1,1,11,4,6,5,2,28,174,143,22,2,0,5,0.0,0.23,0.0,1,0.23,1.39,0.23,6.49,40.36,33.17,5.1,0.46,0.0,1.16,2.55,0.93,1.39,1.16,0.46,0.0
117,2058,Midfielder,Liga Portugal 2,N. Félix,Benfica B U21,2,158,0,1.0,0,0,3,3,2,1,1,6,120,104,9,1,0,1,0.0,0.0,0.0,0,0.0,0.57,0.0,3.42,68.35,59.24,5.13,0.57,0.0,0.57,1.71,1.71,1.14,0.57,0.57,0.0
119,2060,Midfielder,Liga Portugal 2,Marquinho,Académico Viseu FC,3,270,1,4.0,0,0,1,3,3,1,1,4,82,61,11,9,1,2,0.0,0.0,0.33,1,0.33,1.33,0.0,1.33,27.33,20.33,3.67,3.0,0.33,0.67,0.33,1.0,1.0,0.33,0.33,0.0
123,2064,Midfielder,Liga Portugal 2,F. França,Varzim SC,4,118,0,0.0,0,0,3,3,3,4,0,8,44,35,6,3,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,6.1,33.56,26.69,4.58,2.29,0.0,0.76,2.29,2.29,2.29,3.05,0.0,0.0
124,2065,Midfielder,Liga Portugal 2,J. Teixeira,FC Porto B,5,331,1,6.0,2,0,8,4,4,5,0,25,112,86,10,1,1,4,0.0,0.0,0.27,1,0.27,1.63,0.54,6.8,30.45,23.38,2.72,0.27,0.27,1.09,2.18,1.09,1.09,1.36,0.0,0.0
125,2066,Midfielder,Liga Portugal 2,G. Sousa,FC Porto B,5,129,0,0.0,0,0,4,1,0,1,0,8,49,35,4,6,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,5.58,34.19,24.42,2.79,4.19,0.0,0.7,2.79,0.7,0.0,0.7,0.0,0.0
126,2067,Midfielder,Liga Portugal 2,K. Nagata,FC Porto B,3,220,0,8.0,3,1,3,1,0,0,3,12,53,44,5,3,0,0,0.0,0.41,0.0,1,0.41,3.27,1.23,4.91,21.68,18.0,2.05,1.23,0.0,0.0,1.23,0.41,0.0,0.0,1.23,0.0
128,2069,Midfielder,Liga Portugal 2,R. Pina,Leixões SC,5,351,1,14.0,4,2,1,1,1,3,6,13,139,112,14,4,0,5,0.0,0.51,0.26,3,0.77,3.59,1.03,3.33,35.64,28.72,3.59,1.03,0.0,1.28,0.26,0.26,0.26,0.77,1.54,0.0
129,2070,Midfielder,Liga Portugal 2,A. Silva,Penafiel,2,99,0,5.0,1,1,1,2,0,0,2,5,17,10,0,2,0,2,0.0,0.91,0.0,1,0.91,4.55,0.91,4.55,15.45,9.09,0.0,1.82,0.0,1.82,0.91,1.82,0.0,0.0,1.82,0.0
130,2071,Midfielder,Liga Portugal 2,S. Iheanacho,CD Mafra,5,336,0,9.0,4,0,6,2,2,4,2,18,63,41,6,2,0,4,0.0,0.0,0.0,0,0.0,2.41,1.07,4.82,16.88,10.98,1.61,0.54,0.0,1.07,1.61,0.54,0.54,1.07,0.54,0.0
132,2073,Midfielder,Liga Portugal 2,Y. Maiga,CD Mafra,3,155,0,1.0,0,0,4,3,7,4,0,13,52,35,12,1,0,0,0.0,0.0,0.0,0,0.0,0.58,0.0,7.55,30.19,20.32,6.97,0.58,0.0,0.0,2.32,1.74,4.06,2.32,0.0,0.0
