,Position,League,Name,Team,playerProfile,Category,Score
179,Forward,LaLiga 2,C. Fernández,Mirandés,Target Man,GoalScoring,44.29
180,Forward,LaLiga 2,J. Otero,Sporting Gijón,Target Man,GoalScoring,79.21
181,Forward,LaLiga 2,J. Caicedo,Sporting Gijón,Target Man,GoalScoring,53.66
182,Forward,LaLiga 2,E. Gallego,CD Tenerife,Target Man,GoalScoring,64.08
183,Forward,LaLiga 2,D. Gómez,Real Zaragoza,Target Man,GoalScoring,86.6
184,Forward,LaLiga 2,P. Soko,Almería,Target Man,GoalScoring,78.38
185,Forward,LaLiga 2,CBC. Borrego,FC Cartagena,Target Man,GoalScoring,38.06
186,Forward,LaLiga 2,J. Muñoz,Málaga,Creative Forward,GoalScoring,68.8
187,Forward,LaLiga 2,EJE. Jauregi,Málaga,Target Man,GoalScoring,60.21
188,Forward,LaLiga 2,M. Soberón,Real Zaragoza,Target Man,GoalScoring,82.93
189,Forward,LaLiga 2,J. de Miguel,CD Tenerife,Target Man,GoalScoring,47.7
190,Forward,LaLiga 2,I. Unzueta,CD Lugo,Target Man,GoalScoring,41.31
191,Forward,LaLiga 2,F. Viñas,Real Oviedo,Target Man,GoalScoring,42.83
192,Forward,LaLiga 2,P. de la Fuente,Real Zaragoza,Creative Forward,GoalScoring,51.78
193,Forward,LaLiga 2,J. Lobete,Málaga,Target Man,GoalScoring,47.75
194,Forward,LaLiga 2,Á. Millán,Leganés,Target Man,GoalScoring,75.45
195,Forward,LaLiga 2,F. Niño,Burgos Club de Fútbol,Target Man,GoalScoring,65.65
196,Forward,LaLiga 2,RBR. Blanco,AD Alcorcón,Creative Forward,GoalScoring,40.37
197,Forward,LaLiga 2,J. Martón,Eibar,Target Man,GoalScoring,75.76
198,Forward,LaLiga 2,A. Martín,FC Cartagena,Creative Forward,GoalScoring,23.82
199,Forward,LaLiga 2,D. Queipo,Sporting Gijón,Target Man,GoalScoring,37.85
200,Forward,LaLiga 2,J. Roca,Girona FC,Creative Forward,GoalScoring,72.77
201,Forward,LaLiga 2,CChupete,Málaga,Target Man,GoalScoring,67.02
202,Goalkeeper,LaLiga 2,A. Fernández,Almería,All-round Goalkeeper,GoalScoring,0.0
203,Goalkeeper,LaLiga 2,A. Herrero,Málaga,Shot Stopper,GoalScoring,0.0
204,Goalkeeper,LaLiga 2,D. Jiménez,Huesca,Shot Stopper,GoalScoring,0.0
205,Goalkeeper,LaLiga 2,R. Yáñez,Sporting Gijón,Shot Stopper,GoalScoring,0.0
206,Goalkeeper,LaLiga 2,F. Martínez,Almería,All-round Goalkeeper,GoalScoring,0.0
207,Goalkeeper,LaLiga 2,A. Cantero,Burgos Club de Fútbol,Shot Stopper,GoalScoring,0.0
208,Goalkeeper,LaLiga 2,J. Pérez,Huesca,All-round Goalkeeper,GoalScoring,0.0
209,Goalkeeper,LaLiga 2,T. Nadal,Burgos Club de Fútbol,All-round Goalkeeper,GoalScoring,0.0
210,Goalkeeper,LaLiga 2,A. Escandell,Real Oviedo,All-round Goalkeeper,GoalScoring,0.0
211,Goalkeeper,LaLiga 2,JRJ. Ruiz,Burgos Club de Fútbol,All-round Goalkeeper,GoalScoring,0.0
212,Goalkeeper,LaLiga 2,D. Martín,CD Tenerife,Shot Stopper,GoalScoring,0.0
213,Goalkeeper,LaLiga 2,J. Mikel Magunagoitia,Eibar,Shot Stopper,GoalScoring,0.0
214,Midfielder,LaLiga 2,S. Cazorla,Real Oviedo,Attacking Midfielder,GoalScoring,78.13
215,Midfielder,LaLiga 2,L. Júnior,CD Lugo,Attacking Midfielder,GoalScoring,83.41
216,Midfielder,LaLiga 2,A. Sanz,CD Tenerife,Defensive Midfielder,GoalScoring,30.8
217,Midfielder,LaLiga 2,F. Portillo,Huesca,Attacking Midfielder,GoalScoring,64.95
218,Midfielder,LaLiga 2,S. Álvarez,Eibar,Defensive Midfielder,GoalScoring,32.29
219,Midfielder,LaLiga 2,D. Musto,FC Cartagena,Defensive Midfielder,GoalScoring,20.62
220,Midfielder,LaLiga 2,L. Baptistão,Almería,Attacking Midfielder,GoalScoring,95.3
221,Midfielder,LaLiga 2,I. Alejo,Real Valladolid,Attacking Midfielder,GoalScoring,20.62
222,Midfielder,LaLiga 2,S. Moyano,Real Zaragoza,Attacking Midfielder,GoalScoring,49.47
223,Midfielder,LaLiga 2,F. San Emeterio,SD Ponferradina,Defensive Midfielder,GoalScoring,31.58
224,Midfielder,LaLiga 2,Luismi,Málaga,Defensive Midfielder,GoalScoring,27.17
225,Midfielder,LaLiga 2,R. Guti,Real Zaragoza,Defensive Midfielder,GoalScoring,69.7
226,Midfielder,LaLiga 2,J. Pérez Mateo,CD Tenerife,Defensive Midfielder,GoalScoring,60.6
227,Midfielder,LaLiga 2,I. Cordoba,Burgos Club de Fútbol,Defensive Midfielder,GoalScoring,75.0
228,Midfielder,LaLiga 2,B. Sánchez,CD Lugo,Attacking Midfielder,GoalScoring,90.41
229,Midfielder,LaLiga 2,ADA. Diawara,Leganés,Defensive Midfielder,GoalScoring,62.14
230,Midfielder,LaLiga 2,G. Melero,Leganés,Attacking Midfielder,GoalScoring,76.68
231,Midfielder,LaLiga 2,L. Olaetxea,Eibar,Defensive Midfielder,GoalScoring,48.93
