,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
36,1156,Defender,LaLiga,J. Aidoo,Celta Vigo,23,590,0,1.0,0,0,0.04,0.04,0.06,6,26,5,9,1,18,384,342,48,0,0,0,0.0,0.0,0.0,0,0.0,0.15,0.0,2.75,58.58,52.17,7.32,0.0,0.0,0.0,0.92,3.97,0.76,1.37,0.15,0.0,0.01,0.01,0.01
38,1158,Defender,LaLiga,M. Diakhaby,Valencia,18,659,0,11.0,4,2,1.3,1.48,0.04,8,54,11,18,1,32,331,280,41,1,0,1,0.0,0.27,0.0,2,0.27,1.5,0.55,4.37,45.2,38.24,5.6,0.14,0.0,0.14,1.09,7.37,1.5,2.46,0.14,0.0,0.18,0.2,0.0
39,1159,Defender,LaLiga,Í. Lekue,Athletic Club,38,768,0,2.0,0,0,0.18,0.18,0.5,15,27,9,6,1,29,342,275,40,16,1,8,0.0,0.0,0.0,0,0.0,0.23,0.0,3.4,40.08,32.23,4.69,1.88,0.12,0.94,1.76,3.16,1.05,0.7,0.12,0.0,0.02,0.02,0.06
40,1160,Defender,LaLiga,A. Raíllo,Mallorca,36,3209,0,35.0,8,2,2.03,2.04,0.93,31,221,29,131,7,173,1764,1569,157,3,4,13,0.0,0.06,0.0,2,0.06,0.98,0.22,4.85,49.47,44.0,4.4,0.08,0.11,0.36,0.87,6.2,0.81,3.67,0.2,0.0,0.06,0.06,0.03
41,1161,Defender,LaLiga,Y. Álvarez,Athletic Club,30,1788,0,9.0,2,1,0.48,0.48,0.39,24,125,34,51,1,94,1175,992,189,3,1,4,0.0,0.05,0.0,1,0.05,0.45,0.1,4.73,59.14,49.93,9.51,0.15,0.05,0.2,1.21,6.29,1.71,2.57,0.05,0.0,0.02,0.02,0.02
42,1162,Defender,LaLiga,E. Cömert,Valencia,32,1789,0,9.0,1,0,0.88,0.88,0.08,25,73,24,21,2,64,915,805,115,0,0,0,0.0,0.0,0.0,0,0.0,0.45,0.05,3.22,46.03,40.5,5.79,0.0,0.0,0.0,1.26,3.67,1.21,1.06,0.1,0.0,0.04,0.04,0.0
43,1163,Defender,LaLiga,É. Militão,Real Madrid,12,940,1,10.0,3,1,0.64,0.62,0.16,19,34,12,21,3,53,706,634,84,2,1,6,0.0,0.1,0.1,2,0.19,0.96,0.29,5.07,67.6,60.7,8.04,0.19,0.1,0.57,1.82,3.26,1.15,2.01,0.29,0.0,0.06,0.06,0.02
44,1164,Defender,LaLiga,J. Galán,Osasuna,36,1790,3,9.0,0,0,0.2,0.2,3.06,51,42,12,25,2,139,800,683,49,57,8,15,0.0,0.0,0.15,3,0.15,0.45,0.0,6.99,40.22,34.34,2.46,2.87,0.4,0.75,2.56,2.11,0.6,1.26,0.1,0.0,0.01,0.01,0.15
45,1165,Defender,LaLiga,J. Koundé,Barcelona,33,2606,3,18.0,6,2,1.81,1.91,3.79,63,58,20,30,4,134,1806,1601,102,63,6,32,0.0,0.07,0.1,5,0.17,0.62,0.21,4.63,62.37,55.29,3.52,2.18,0.21,1.11,2.18,2.0,0.69,1.04,0.14,0.0,0.06,0.07,0.13
46,1166,Defender,LaLiga,T. Lato,Mallorca,30,650,0,0.0,0,0,0.0,0.0,0.75,17,29,6,6,0,26,234,182,27,23,0,7,0.0,0.0,0.0,0,0.0,0.0,0.0,3.6,32.4,25.2,3.74,3.18,0.0,0.97,2.35,4.02,0.83,0.83,0.0,0.0,0.0,0.0,0.1
47,1167,Defender,LaLiga,N. Molina,Atlético Madrid,36,1581,3,9.0,1,0,0.8,0.8,1.91,44,44,13,10,1,77,967,798,72,55,3,13,0.0,0.0,0.17,3,0.17,0.51,0.06,4.38,55.05,45.43,4.1,3.13,0.17,0.74,2.5,2.5,0.74,0.57,0.06,0.0,0.05,0.05,0.11
48,1168,Defender,LaLiga,I. Zubeldia,Real Sociedad,29,2273,0,12.0,4,0,0.7,0.62,0.55,34,98,31,65,2,116,1473,1280,164,1,0,4,0.0,0.0,0.0,0,0.0,0.48,0.16,4.59,58.32,50.68,6.49,0.04,0.0,0.16,1.35,3.88,1.23,2.57,0.08,0.0,0.03,0.02,0.02
51,1171,Defender,LaLiga,V. Rosier,Osasuna,34,2592,2,14.0,4,1,0.91,0.9,1.24,72,131,52,27,4,139,955,770,119,39,1,11,0.0,0.03,0.07,3,0.1,0.49,0.14,4.83,33.16,26.74,4.13,1.35,0.03,0.38,2.5,4.55,1.81,0.94,0.14,0.0,0.03,0.03,0.04
52,1172,Defender,LaLiga,A. Mumin,Rayo Vallecano,24,2020,1,10.0,4,2,0.61,0.61,0.08,37,122,23,32,0,85,1075,899,159,6,0,1,0.0,0.09,0.04,3,0.13,0.45,0.18,3.79,47.9,40.05,7.08,0.27,0.0,0.04,1.65,5.44,1.02,1.43,0.0,0.0,0.03,0.03,0.0
53,1173,Defender,LaLiga,F. García,Real Madrid,38,2189,2,14.0,3,0,0.87,0.87,2.27,51,52,28,17,5,98,1314,1169,73,66,3,24,0.0,0.0,0.08,2,0.08,0.58,0.12,4.03,54.02,48.06,3.0,2.71,0.12,0.99,2.1,2.14,1.15,0.7,0.21,0.0,0.04,0.04,0.09
