,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
27,493,Defender,Championship,L. Gooch,Huddersfield Town,24,1053,1,8.0,2,0,0.23,0.23,0.81,31,17,13,5,5,49,313,212,60,66,2,5,0.0,0.0,0.09,1,0.09,0.68,0.17,4.19,26.75,18.12,5.13,5.64,0.17,0.43,2.65,1.45,1.11,0.43,0.43,0.0,0.02,0.02,0.07
28,494,Defender,Championship,J. Clarke-Salter,Queens Park Rangers,14,759,0,3.0,1,0,0.17,0.17,0.3,14,39,4,17,1,35,391,335,59,2,0,4,0.0,0.0,0.0,0,0.0,0.36,0.12,4.15,46.36,39.72,7.0,0.24,0.0,0.47,1.66,4.62,0.47,2.02,0.12,0.0,0.02,0.02,0.04
29,495,Defender,Championship,J. Dasilva,Coventry City,47,2019,1,5.0,1,0,0.2,0.21,1.73,61,48,24,16,2,104,993,839,58,55,2,19,0.0,0.0,0.04,1,0.04,0.22,0.04,4.64,44.26,37.4,2.59,2.45,0.09,0.85,2.72,2.14,1.07,0.71,0.09,0.0,0.01,0.01,0.08
30,496,Defender,Championship,R. Nyambe,Reading,20,1127,0,0.0,0,0,0.0,0.0,0.27,28,22,13,15,0,57,383,299,44,12,0,2,0.0,0.0,0.0,0,0.0,0.0,0.0,4.55,30.59,23.88,3.51,0.96,0.0,0.16,2.24,1.76,1.04,1.2,0.0,0.0,0.0,0.0,0.02
31,497,Defender,Championship,R. Dickie,Bristol City,36,3084,1,22.0,6,2,2.49,2.39,0.9,34,224,33,171,5,240,1989,1676,211,0,1,5,0.0,0.06,0.03,3,0.09,0.64,0.18,7.0,58.04,48.91,6.16,0.0,0.03,0.15,0.99,6.54,0.96,4.99,0.15,0.0,0.07,0.07,0.03
32,498,Defender,Championship,G. Edmundson,Middlesbrough,31,2093,0,11.0,2,1,1.95,2.37,0.23,23,117,22,36,1,75,1491,1340,147,0,0,3,0.0,0.04,0.0,1,0.04,0.47,0.09,3.23,64.11,57.62,6.32,0.0,0.0,0.13,0.99,5.03,0.95,1.55,0.04,0.0,0.08,0.1,0.01
33,499,Defender,Championship,J. Johnson,Luton Town,19,477,0,1.0,0,0,0.04,0.04,0.16,10,14,2,9,1,25,160,122,21,10,1,3,0.0,0.0,0.0,0,0.0,0.19,0.0,4.72,30.19,23.02,3.96,1.89,0.19,0.57,1.89,2.64,0.38,1.7,0.19,0.0,0.01,0.01,0.03
34,500,Defender,Championship,L. Coyle,Hull City,44,3722,2,31.0,6,1,0.99,1.05,5.47,98,141,26,52,12,241,1919,1575,212,166,7,35,0.0,0.02,0.05,3,0.07,0.75,0.15,5.83,46.4,38.08,5.13,4.01,0.17,0.85,2.37,3.41,0.63,1.26,0.29,0.0,0.02,0.03,0.13
35,501,Defender,Championship,C. Brittain,Middlesbrough,34,2663,5,18.0,3,2,1.12,1.09,4.62,56,111,21,40,7,144,1166,963,135,123,8,45,0.0,0.07,0.17,7,0.24,0.61,0.1,4.87,39.41,32.55,4.56,4.16,0.27,1.52,1.89,3.75,0.71,1.35,0.24,0.0,0.04,0.04,0.16
36,502,Defender,Championship,J. Tymon,Swansea City,45,3941,7,24.0,10,2,2.72,1.94,9.34,47,78,59,21,6,128,1824,1532,124,266,15,81,0.0,0.05,0.16,9,0.21,0.55,0.23,2.92,41.65,34.99,2.83,6.07,0.34,1.85,1.07,1.78,1.35,0.48,0.14,0.0,0.06,0.04,0.21
37,503,Defender,Championship,J. Tanganga,Sheffield United,40,3553,0,44.0,9,2,2.57,2.48,0.9,56,217,36,123,10,233,1336,1041,240,6,1,5,0.0,0.05,0.0,2,0.05,1.11,0.23,5.9,33.84,26.37,6.08,0.15,0.03,0.13,1.42,5.5,0.91,3.12,0.25,0.0,0.07,0.06,0.02
38,504,Defender,Championship,C. Styles,West Bromwich Albion,38,2613,1,24.0,7,3,1.74,1.76,1.88,65,87,40,43,8,159,1330,1097,125,48,1,16,0.0,0.1,0.03,4,0.14,0.83,0.24,5.48,45.81,37.78,4.31,1.65,0.03,0.55,2.24,3.0,1.38,1.48,0.28,0.0,0.06,0.06,0.06
39,505,Defender,Championship,M. Juel Andersen,Luton Town,26,419,0,3.0,0,0,0.37,0.37,0.09,6,33,6,23,1,30,165,125,26,1,0,1,0.0,0.0,0.0,0,0.0,0.64,0.0,6.44,35.44,26.85,5.58,0.21,0.0,0.21,1.29,7.09,1.29,4.94,0.21,0.0,0.08,0.08,0.02
40,506,Defender,Championship,A. Jones,Middlesbrough,44,3391,0,8.0,3,0,0.5,0.52,0.72,27,181,36,87,3,137,2399,2048,324,5,1,6,0.0,0.0,0.0,0,0.0,0.21,0.08,3.64,63.67,54.36,8.6,0.13,0.03,0.16,0.72,4.8,0.96,2.31,0.08,0.0,0.01,0.01,0.02
41,507,Defender,Championship,H. Pickering,Blackburn Rovers,24,1040,1,3.0,1,0,0.32,0.32,1.59,17,38,10,18,1,50,439,365,65,45,1,7,0.0,0.0,0.09,1,0.09,0.26,0.09,4.33,37.99,31.59,5.62,3.89,0.09,0.61,1.47,3.29,0.87,1.56,0.09,0.0,0.03,0.03,0.14
42,508,Defender,Championship,J. Storey,Preston North End,39,3064,1,19.0,2,1,1.25,1.17,0.75,52,106,57,100,6,195,1434,1107,211,15,2,11,0.0,0.03,0.03,2,0.06,0.56,0.06,5.73,42.12,32.52,6.2,0.44,0.06,0.32,1.53,3.11,1.67,2.94,0.18,0.0,0.04,0.03,0.02
43,509,Defender,Championship,J. Latibeaudiere,Coventry City,48,2580,0,8.0,1,0,0.92,0.92,1.34,51,115,29,63,0,151,1621,1424,153,9,3,6,0.0,0.0,0.0,0,0.0,0.28,0.03,5.27,56.55,49.67,5.34,0.31,0.1,0.21,1.78,4.01,1.01,2.2,0.0,0.0,0.03,0.03,0.05
44,510,Defender,Championship,B. Wilmot,Stoke City,40,3248,0,22.0,7,3,1.86,1.86,1.18,54,219,45,80,6,161,1810,1433,312,17,2,9,0.0,0.08,0.0,3,0.08,0.61,0.19,4.46,50.15,39.71,8.65,0.47,0.06,0.25,1.5,6.07,1.25,2.22,0.17,0.0,0.05,0.05,0.03
45,511,Defender,Championship,C. Mepham,West Bromwich Albion,44,3370,0,14.0,6,1,1.69,1.8,0.92,53,246,35,112,3,189,2048,1781,212,0,0,12,0.0,0.03,0.0,1,0.03,0.37,0.16,5.05,54.69,47.56,5.66,0.0,0.0,0.32,1.42,6.57,0.93,2.99,0.08,0.0,0.05,0.05,0.02
46,512,Defender,Championship,L. Gibson,Preston North End,39,3256,1,22.0,6,2,2.19,2.19,0.53,53,203,37,92,5,184,2002,1676,254,10,0,12,0.0,0.06,0.03,3,0.08,0.61,0.17,5.09,55.34,46.33,7.02,0.28,0.0,0.33,1.46,5.61,1.02,2.54,0.14,0.0,0.06,0.06,0.01
47,513,Defender,Championship,C. Bramall,Luton Town,17,472,0,4.0,0,0,0.14,0.13,0.56,6,13,3,14,1,28,160,118,19,19,0,4,0.0,0.0,0.0,0,0.0,0.76,0.0,5.34,30.51,22.5,3.62,3.62,0.0,0.76,1.14,2.48,0.57,2.67,0.19,0.0,0.03,0.03,0.11
48,514,Defender,Championship,S. McLoughlin,Blackburn Rovers,45,3215,1,30.0,11,0,1.53,1.59,0.94,35,202,36,108,7,172,1972,1618,235,24,1,11,0.0,0.0,0.03,1,0.03,0.84,0.31,4.81,55.2,45.29,6.58,0.67,0.03,0.31,0.98,5.65,1.01,3.02,0.2,0.0,0.04,0.04,0.03
49,515,Defender,Championship,P. Valentín,Preston North End,42,1528,0,9.0,2,1,0.86,0.85,2.24,43,49,21,21,4,97,426,303,51,72,4,17,0.0,0.06,0.0,1,0.06,0.53,0.12,5.71,25.09,17.85,3.0,4.24,0.24,1.0,2.53,2.89,1.24,1.24,0.24,0.0,0.05,0.05,0.13
50,516,Defender,Championship,H. Burrows,Sheffield United,49,3743,6,55.0,17,6,4.68,2.45,7.45,82,100,32,38,27,193,1638,1275,232,225,12,59,0.0,0.14,0.14,12,0.29,1.32,0.41,4.64,39.39,30.66,5.58,5.41,0.29,1.42,1.97,2.4,0.77,0.91,0.65,0.0,0.11,0.06,0.18
51,517,Defender,Championship,C. Pring,Bristol City,34,2299,3,7.0,2,0,0.44,0.44,2.58,59,89,25,62,2,179,1205,921,126,54,3,22,0.0,0.0,0.12,3,0.12,0.27,0.08,7.01,47.17,36.05,4.93,2.11,0.12,0.86,2.31,3.48,0.98,2.43,0.08,0.0,0.02,0.02,0.1
52,518,Defender,Championship,R. Norrington-Davies,Queens Park Rangers,28,270,0,1.0,0,0,0.03,0.04,0.03,4,11,3,5,1,10,121,94,16,6,0,2,0.0,0.0,0.0,0,0.0,0.33,0.0,3.33,40.33,31.33,5.33,2.0,0.0,0.67,1.33,3.67,1.0,1.67,0.33,0.0,0.01,0.01,0.01
53,519,Defender,Championship,J. Dunne,Queens Park Rangers,45,4050,2,55.0,19,5,4.8,4.92,3.05,113,246,46,210,10,376,2053,1533,288,40,4,24,0.0,0.11,0.04,7,0.16,1.22,0.42,8.36,45.62,34.07,6.4,0.89,0.09,0.53,2.51,5.47,1.02,4.67,0.22,0.0,0.11,0.11,0.07
54,520,Defender,Championship,N. Borges,Bristol City,38,2898,3,19.0,4,1,1.39,1.37,2.52,65,125,40,52,8,161,1381,1185,84,49,6,22,0.0,0.03,0.09,4,0.12,0.59,0.12,5.0,42.89,36.8,2.61,1.52,0.19,0.68,2.02,3.88,1.24,1.61,0.25,0.0,0.04,0.04,0.08
55,521,Defender,Championship,N. Phillips,West Bromwich Albion,36,2241,3,25.0,3,1,1.93,1.93,1.06,38,160,20,138,11,191,835,634,143,5,1,10,0.0,0.04,0.12,4,0.16,1.0,0.12,7.67,33.53,25.46,5.74,0.2,0.04,0.4,1.53,6.43,0.8,5.54,0.44,0.0,0.08,0.08,0.04
56,522,Defender,Championship,R. Atkinson,Bristol City,26,1101,1,6.0,2,2,0.55,0.55,0.7,7,101,9,64,2,88,470,360,59,0,1,3,0.0,0.16,0.08,3,0.25,0.49,0.16,7.19,38.42,29.43,4.82,0.0,0.08,0.25,0.57,8.26,0.74,5.23,0.16,0.0,0.04,0.04,0.06
57,523,Defender,Championship,L. Kitching,Coventry City,46,2494,1,16.0,4,0,1.51,1.52,1.25,37,162,20,86,5,150,1453,1189,205,6,1,15,0.0,0.0,0.04,1,0.04,0.58,0.14,5.41,52.43,42.91,7.4,0.22,0.04,0.54,1.34,5.85,0.72,3.1,0.18,0.0,0.05,0.05,0.05
58,524,Defender,Championship,G. Tanner,Bristol City,36,2104,0,12.0,5,2,0.6,0.62,2.17,58,69,20,34,4,110,1156,971,85,34,2,14,0.0,0.09,0.0,2,0.09,0.51,0.21,4.71,49.45,41.54,3.64,1.45,0.09,0.6,2.48,2.95,0.86,1.45,0.17,0.0,0.03,0.03,0.09
59,525,Defender,Championship,J. Key,Swansea City,46,3470,3,22.0,8,1,1.33,1.33,3.76,56,91,31,26,9,165,1931,1602,164,111,5,25,0.0,0.03,0.08,4,0.1,0.57,0.21,4.28,50.08,41.55,4.25,2.88,0.13,0.65,1.45,2.36,0.8,0.67,0.23,0.0,0.03,0.03,0.1
60,526,Defender,Championship,R. Giles,Hull City,41,1245,0,7.0,2,0,0.26,0.26,0.99,12,40,6,8,2,29,611,494,64,79,3,13,0.0,0.0,0.0,0,0.0,0.51,0.14,2.1,44.17,35.71,4.63,5.71,0.22,0.94,0.87,2.89,0.43,0.58,0.14,0.0,0.02,0.02,0.07
61,527,Defender,Championship,B. Cabango,Swansea City,45,4034,1,23.0,5,2,2.65,2.57,1.19,84,269,41,133,3,243,3270,2826,391,4,0,14,0.0,0.04,0.02,3,0.07,0.51,0.11,5.42,72.95,63.05,8.72,0.09,0.0,0.31,1.87,6.0,0.91,2.97,0.07,0.0,0.06,0.06,0.03
62,528,Defender,Championship,J. Shackleton,Sheffield United,18,300,0,4.0,2,0,0.28,0.28,0.06,10,6,1,4,2,27,142,116,9,1,0,1,0.0,0.0,0.0,0,0.0,1.2,0.6,8.1,42.6,34.8,2.7,0.3,0.0,0.3,3.0,1.8,0.3,1.2,0.6,0.0,0.08,0.08,0.02
63,529,Defender,Championship,L. Engel,Middlesbrough,9,379,0,8.0,0,0,0.22,0.22,0.36,8,4,6,9,1,22,230,182,25,19,0,8,0.0,0.0,0.0,0,0.0,1.9,0.0,5.22,54.62,43.22,5.94,4.51,0.0,1.9,1.9,0.95,1.42,2.14,0.24,0.0,0.05,0.05,0.09
64,530,Defender,Championship,M. van Ewijk,Coventry City,47,4223,4,31.0,8,2,2.12,2.15,6.54,97,121,54,33,13,195,1866,1517,187,146,13,59,0.0,0.04,0.09,6,0.13,0.66,0.17,4.16,39.77,32.33,3.99,3.11,0.28,1.26,2.07,2.58,1.15,0.7,0.28,0.0,0.05,0.05,0.14
65,531,Defender,Championship,S. McCallum,Sheffield United,48,1053,0,15.0,3,2,1.49,1.5,0.51,22,41,26,46,4,97,420,314,55,30,1,7,0.0,0.17,0.0,2,0.17,1.28,0.26,8.29,35.9,26.84,4.7,2.56,0.09,0.6,1.88,3.5,2.22,3.93,0.34,0.0,0.13,0.13,0.04
66,532,Defender,Championship,P. Kioso,Peterborough United,39,2307,1,6.0,0,0,0.56,0.58,0.47,56,97,34,55,2,161,881,669,114,32,2,6,0.0,0.0,0.04,1,0.04,0.23,0.0,6.28,34.37,26.1,4.45,1.25,0.08,0.23,2.18,3.78,1.33,2.15,0.08,0.0,0.02,0.02,0.02
67,533,Defender,Championship,F. Seriki,Sheffield United,29,1098,1,8.0,3,0,0.49,0.49,1.35,33,36,9,21,5,101,427,365,23,31,2,10,0.0,0.0,0.08,1,0.08,0.66,0.25,8.28,35.0,29.92,1.89,2.54,0.16,0.82,2.7,2.95,0.74,1.72,0.41,0.0,0.04,0.04,0.11
68,534,Defender,Championship,W. Fish,Cardiff City,38,1380,0,10.0,3,0,0.93,0.82,0.23,12,117,17,57,1,79,531,429,72,3,0,5,0.0,0.0,0.0,0,0.0,0.65,0.2,5.15,34.63,27.98,4.7,0.2,0.0,0.33,0.78,7.63,1.11,3.72,0.07,0.0,0.06,0.05,0.01
69,535,Defender,Championship,N. Ogbeta,Barnsley,44,627,1,4.0,1,1,0.41,0.39,0.69,20,35,5,6,0,35,195,154,25,21,1,4,0.0,0.14,0.14,2,0.29,0.57,0.14,5.02,27.99,22.11,3.59,3.01,0.14,0.57,2.87,5.02,0.72,0.86,0.0,0.0,0.06,0.06,0.1
70,536,Defender,Championship,D. Sanderson,Birmingham City,21,576,0,0.0,0,0,0.0,0.0,0.01,3,36,6,16,0,24,297,258,34,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,3.75,46.41,40.31,5.31,0.0,0.0,0.16,0.47,5.62,0.94,2.5,0.0,0.0,0.0,0.0,0.0
71,537,Defender,Championship,H. Carter,Blackburn Rovers,19,1365,1,9.0,1,0,0.53,0.52,0.94,24,62,19,46,2,82,766,622,120,13,1,5,0.0,0.0,0.07,1,0.07,0.59,0.07,5.41,50.51,41.01,7.91,0.86,0.07,0.33,1.58,4.09,1.25,3.03,0.13,0.0,0.03,0.03,0.06
72,538,Defender,Championship,T. Mengi,Luton Town,21,1570,1,15.0,5,1,0.9,0.9,0.31,31,77,29,33,5,72,718,555,145,7,1,3,0.0,0.06,0.06,2,0.11,0.86,0.29,4.13,41.16,31.82,8.31,0.4,0.06,0.17,1.78,4.41,1.66,1.89,0.29,0.0,0.05,0.05,0.02
73,539,Defender,Championship,H. Roberts,Reading,42,1679,1,8.0,3,1,0.25,0.28,2.12,18,44,12,43,2,85,671,491,92,58,2,22,0.0,0.05,0.05,2,0.11,0.43,0.16,4.56,35.97,26.32,4.93,3.11,0.11,1.18,0.96,2.36,0.64,2.3,0.11,0.0,0.01,0.02,0.11
74,540,Defender,Championship,L. McNally,Bristol City,30,2326,1,29.0,8,3,2.66,2.56,0.31,43,157,34,106,6,162,1120,874,128,2,0,9,0.0,0.12,0.04,4,0.15,1.12,0.31,6.27,43.34,33.82,4.95,0.08,0.0,0.35,1.66,6.07,1.32,4.1,0.23,0.0,0.1,0.1,0.01
75,541,Defender,Championship,M. McGuinness,Sheffield United,43,3754,3,47.0,9,3,3.68,3.64,1.67,47,273,51,217,12,291,1517,1153,258,1,3,8,0.0,0.07,0.07,6,0.14,1.13,0.22,6.98,36.37,27.64,6.19,0.02,0.07,0.19,1.13,6.55,1.22,5.2,0.29,0.0,0.09,0.09,0.04
76,542,Defender,Championship,M. Talovierov,Stoke City,11,934,1,3.0,1,1,0.22,0.16,0.12,28,69,8,32,0,64,323,242,74,3,1,2,0.0,0.1,0.1,2,0.19,0.29,0.1,6.17,31.12,23.32,7.13,0.29,0.1,0.19,2.7,6.65,0.77,3.08,0.0,0.0,0.02,0.02,0.01
