,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
40,3379,Forward,Serie B,L. Strizzolo,Cosenza,17,608,2,15.0,4,1,2,7,0,35,1,41,124,76,5,0,1,10,0.0,0.15,0.3,3,0.44,2.22,0.59,6.07,18.36,11.25,0.74,0.0,0.15,1.48,0.3,1.04,0.0,5.18,0.15,0.0
41,3380,Forward,Serie B,F. Galuppini,Ascoli,36,1599,2,60.0,17,2,23,21,4,19,20,91,754,595,44,25,3,25,0.0,0.11,0.11,4,0.23,3.38,0.96,5.12,42.44,33.49,2.48,1.41,0.17,1.41,1.29,1.18,0.23,1.07,1.13,0.0
42,3381,Forward,Serie B,F. Bonazzoli,Cremonese,40,1355,1,49.0,21,6,15,4,2,4,9,54,451,380,34,7,3,14,0.0,0.4,0.07,7,0.46,3.25,1.39,3.59,29.96,25.24,2.26,0.46,0.2,0.93,1.0,0.27,0.13,0.27,0.6,0.0
43,3382,Forward,Serie B,S. Moreo,Pisa,35,2691,6,67.0,19,7,28,60,13,135,25,232,697,405,41,42,9,38,0.0,0.23,0.2,13,0.43,2.24,0.64,7.76,23.31,13.55,1.37,1.4,0.3,1.27,0.94,2.01,0.43,4.52,0.84,0.0
44,3383,Forward,Serie B,A. Novakovich,Reggiana,32,1149,2,24.0,10,3,5,10,3,63,7,93,238,169,4,1,2,20,0.0,0.23,0.16,5,0.39,1.88,0.78,7.28,18.64,13.24,0.31,0.08,0.16,1.57,0.39,0.78,0.23,4.93,0.55,0.0
45,3384,Forward,Serie B,C. Gondo,Reggiana,34,1977,1,51.0,19,7,17,14,5,58,11,134,359,236,11,13,2,22,0.0,0.32,0.05,8,0.36,2.32,0.86,6.1,16.34,10.74,0.5,0.59,0.09,1.0,0.77,0.64,0.23,2.64,0.5,0.0
46,3385,Forward,Serie B,M. Ravasio,Cittadella,23,704,3,21.0,9,1,3,7,0,30,6,55,136,90,4,2,1,10,0.0,0.13,0.38,4,0.51,2.68,1.15,7.03,17.39,11.51,0.51,0.26,0.13,1.28,0.38,0.89,0.0,3.84,0.77,0.0
47,3386,Forward,Serie B,D. Diaw,Monza,6,79,0,1.0,0,0,0,0,0,5,0,9,14,10,0,1,0,0,0.0,0.0,0.0,0,0.0,1.14,0.0,10.25,15.95,11.39,0.0,1.14,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0
48,3387,Forward,Serie B,M. Tramoni,Pisa,29,1953,3,65.0,23,13,24,11,10,19,21,91,518,383,32,70,8,28,0.0,0.6,0.14,16,0.74,3.0,1.06,4.19,23.87,17.65,1.47,3.23,0.37,1.29,1.11,0.51,0.46,0.88,0.97,0.0
49,3388,Forward,Serie B,L. Sgarbi,Pescara,35,473,2,9.0,0,0,3,1,0,4,7,26,143,107,8,33,3,12,0.0,0.0,0.38,2,0.38,1.71,0.0,4.95,27.21,20.36,1.52,6.28,0.57,2.28,0.57,0.19,0.0,0.76,1.33,0.0
50,3389,Forward,Serie B,EVE. Vergani,Frosinone,9,45,0,0.0,0,0,1,1,0,0,0,1,6,5,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,12.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
51,3390,Forward,Serie B,EPE. Piovanello,Crotone,19,55,0,1.0,1,0,1,1,0,0,0,7,13,13,0,1,0,2,0.0,0.0,0.0,0,0.0,1.64,1.64,11.45,21.27,21.27,0.0,1.64,0.0,3.27,1.64,1.64,0.0,0.0,0.0,0.0
52,3391,Forward,Serie B,C. Kouan,Benevento,36,2457,1,43.0,10,0,22,32,29,42,14,125,827,639,89,21,2,30,0.0,0.0,0.04,1,0.04,1.58,0.37,4.58,30.29,23.41,3.26,0.77,0.07,1.1,0.81,1.17,1.06,1.54,0.51,0.0
53,3392,Forward,Serie B,F. Tsadjout,Pescara,19,817,1,25.0,9,0,7,9,1,31,7,61,197,162,3,6,0,7,0.0,0.0,0.11,1,0.11,2.75,0.99,6.72,21.7,17.85,0.33,0.66,0.0,0.77,0.77,0.99,0.11,3.41,0.77,0.0
54,3393,Forward,Serie B,G. Caso,Monza,29,1767,3,42.0,8,4,7,5,1,1,20,91,460,371,16,11,3,26,0.0,0.2,0.15,7,0.36,2.14,0.41,4.63,23.43,18.9,0.81,0.56,0.15,1.32,0.36,0.25,0.05,0.05,1.02,0.0
55,3394,Forward,Serie B,T. Fumagalli,Reggiana,37,1280,1,55.0,17,4,13,9,8,8,17,58,315,232,29,74,5,29,0.0,0.28,0.07,5,0.35,3.87,1.2,4.08,22.15,16.31,2.04,5.2,0.35,2.04,0.91,0.63,0.56,0.56,1.2,0.0
56,3395,Forward,Serie B,M. Zilli,Frosinone,30,724,1,21.0,5,3,6,10,1,51,6,79,118,62,2,1,1,7,0.0,0.37,0.12,4,0.5,2.61,0.62,9.82,14.67,7.71,0.25,0.12,0.12,0.87,0.75,1.24,0.12,6.34,0.75,0.0
