,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
31,1746,Defender,Liga Portugal,E. Quaresma,Sporting,25,1402,0,2.0,1,1,0.1,0.1,0.6,48,36,12,17,0,107,1062,988,50,1,0,5,0.0,0.06,0.0,1,0.06,0.13,0.06,6.87,68.17,63.42,3.21,0.06,0.0,0.32,3.08,2.31,0.77,1.09,0.0,0.0,0.01,0.01,0.04
32,1747,Defender,Liga Portugal,R. Pinheiro,Famalicão,31,1909,2,11.0,1,0,0.64,0.77,2.14,46,55,23,21,5,111,756,587,66,60,3,17,0.0,0.0,0.09,2,0.09,0.52,0.05,5.23,35.64,27.67,3.11,2.83,0.14,0.8,2.17,2.59,1.08,0.99,0.24,0.0,0.03,0.04,0.1
33,1748,Defender,Liga Portugal,S. Dahl,Benfica,14,605,4,4.0,2,0,0.3,0.29,2.38,11,5,5,2,1,30,282,232,16,42,3,13,0.0,0.0,0.6,4,0.6,0.6,0.3,4.46,41.95,34.51,2.38,6.25,0.45,1.93,1.64,0.74,0.74,0.3,0.15,0.0,0.05,0.04,0.35
34,1749,Defender,Liga Portugal,B. Arrey-Mbi,Sporting Braga,19,1044,0,1.0,1,0,0.03,0.03,0.11,15,38,6,14,0,34,808,756,35,0,1,3,0.0,0.0,0.0,0,0.0,0.09,0.09,2.93,69.66,65.17,3.02,0.0,0.09,0.26,1.29,3.28,0.52,1.21,0.0,0.0,0.0,0.0,0.01
35,1750,Defender,Liga Portugal,G. Inácio,Sporting,28,2253,2,17.0,5,3,2.59,2.7,0.98,40,72,30,51,4,103,2074,1861,182,2,2,14,0.0,0.12,0.08,5,0.2,0.68,0.2,4.11,82.85,74.34,7.27,0.08,0.08,0.56,1.6,2.88,1.2,2.04,0.16,0.0,0.1,0.11,0.04
36,1751,Defender,Liga Portugal,Z. Carlos,Gil Vicente,31,2530,0,12.0,2,0,0.58,0.57,2.42,56,93,43,34,2,154,1167,889,165,50,1,18,0.0,0.0,0.0,0,0.0,0.43,0.07,5.48,41.51,31.62,5.87,1.78,0.04,0.64,1.99,3.31,1.53,1.21,0.07,0.0,0.02,0.02,0.09
37,1752,Defender,Liga Portugal,J. Mutombo,Gil Vicente,20,763,0,6.0,1,0,0.16,0.15,0.19,30,28,8,8,3,63,324,261,40,14,0,5,0.0,0.0,0.0,0,0.0,0.71,0.12,7.43,38.22,30.79,4.72,1.65,0.0,0.59,3.54,3.3,0.94,0.94,0.35,0.0,0.02,0.02,0.02
38,1753,Defender,Liga Portugal,A. Silva,Benfica,33,1946,2,11.0,3,1,2.07,2.2,1.21,33,96,21,56,2,100,1273,1124,138,4,3,6,0.0,0.05,0.09,3,0.14,0.51,0.14,4.62,58.87,51.98,6.38,0.18,0.14,0.28,1.53,4.44,0.97,2.59,0.09,0.0,0.1,0.1,0.06
39,1754,Defender,Liga Portugal,K. Boma,Estoril Praia,27,2280,0,14.0,8,1,1.28,1.29,0.27,45,118,41,75,1,143,1062,915,97,0,1,5,0.0,0.04,0.0,1,0.04,0.55,0.32,5.64,41.92,36.12,3.83,0.0,0.04,0.2,1.78,4.66,1.62,2.96,0.04,0.0,0.05,0.05,0.01
41,1756,Defender,Liga Portugal,C. Castro,AVS - Futebol SAD,18,1575,1,6.0,2,0,0.46,0.38,0.13,25,109,25,21,2,62,653,538,126,1,1,5,0.0,0.0,0.06,1,0.06,0.34,0.11,3.54,37.31,30.74,7.2,0.06,0.06,0.29,1.43,6.23,1.43,1.2,0.11,0.0,0.03,0.02,0.01
42,1757,Defender,Liga Portugal,M. Rocha,FC Arouca,10,300,0,2.0,0,0,0.09,0.1,0.02,4,17,2,3,0,8,241,223,16,0,0,0,0.0,0.0,0.0,0,0.0,0.6,0.0,2.4,72.3,66.9,4.8,0.0,0.0,0.0,1.2,5.1,0.6,0.9,0.0,0.0,0.03,0.03,0.0
43,1758,Defender,Liga Portugal,G. Costa,Estoril Praia,30,414,0,4.0,2,2,0.13,0.13,0.3,7,9,7,4,0,20,142,98,10,22,1,4,0.0,0.43,0.0,2,0.43,0.87,0.43,4.35,30.87,21.3,2.17,4.78,0.22,0.87,1.52,1.96,1.52,0.87,0.0,0.0,0.03,0.03,0.06
44,1759,Defender,Liga Portugal,H. Santos,Gil Vicente,14,263,0,2.0,1,0,0.02,0.02,0.09,7,12,1,2,0,15,127,93,10,9,0,1,0.0,0.0,0.0,0,0.0,0.68,0.34,5.13,43.46,31.83,3.42,3.08,0.0,0.34,2.4,4.11,0.34,0.68,0.0,0.0,0.01,0.01,0.03
45,1760,Defender,Liga Portugal,P. Bondo,Famalicão,11,190,1,3.0,2,1,0.05,0.09,0.41,3,3,0,4,1,16,61,42,8,18,2,4,0.0,0.47,0.47,2,0.95,1.42,0.95,7.58,28.89,19.89,3.79,8.53,0.95,1.89,1.42,1.42,0.0,1.89,0.47,0.0,0.02,0.04,0.19
46,1761,Defender,Liga Portugal,M. Araújo,Santa Clara,31,2663,1,19.0,3,1,1.73,1.8,0.92,53,146,34,70,3,173,1327,1018,275,22,2,14,0.0,0.03,0.03,2,0.07,0.64,0.1,5.85,44.85,34.4,9.29,0.74,0.07,0.47,1.79,4.93,1.15,2.37,0.1,0.0,0.06,0.06,0.03
47,1762,Defender,Liga Portugal,P. Victor,Santa Clara,26,1541,0,5.0,2,0,0.36,0.36,0.96,61,55,26,34,0,165,444,288,98,28,0,10,0.0,0.0,0.0,0,0.0,0.29,0.12,9.64,25.93,16.82,5.72,1.64,0.0,0.58,3.56,3.21,1.52,1.99,0.0,0.0,0.02,0.02,0.06
48,1763,Defender,Liga Portugal,M. Elimbi,Gil Vicente,22,433,0,0.0,0,0,0.0,0.0,0.12,7,30,5,6,0,17,200,171,44,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,3.53,41.57,35.54,9.15,0.0,0.0,0.21,1.45,6.24,1.04,1.25,0.0,0.0,0.0,0.0,0.03
50,1765,Defender,Liga Portugal,Z. Debast,Sporting,33,2036,3,16.0,6,0,0.5,0.5,1.5,36,34,28,20,4,80,1475,1318,160,50,4,24,0.0,0.0,0.13,3,0.13,0.71,0.27,3.54,65.2,58.26,7.07,2.21,0.18,1.06,1.59,1.5,1.24,0.88,0.18,0.0,0.02,0.02,0.07
52,1767,Defender,Liga Portugal,F. Souza,Moreirense,16,702,0,2.0,0,0,0.05,0.05,0.3,12,22,12,5,2,41,278,209,54,22,0,2,0.0,0.0,0.0,0,0.0,0.26,0.0,5.26,35.64,26.79,6.92,2.82,0.0,0.26,1.54,2.82,1.54,0.64,0.26,0.0,0.01,0.01,0.04
