,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
58,1536,Defender,LaLiga 2,C. Gutiérrez,Las Palmas,40,2222,3,7.0,3,0,42,54,41,12,1,88,760,593,93,124,3,32,0.0,0.0,0.12,3,0.12,0.28,0.12,3.56,30.78,24.02,3.77,5.02,0.12,1.3,1.7,2.19,1.66,0.49,0.04,0.0
59,1537,Defender,LaLiga 2,D. Sánchez,Sporting Gijón,32,2392,1,9.0,2,1,43,101,25,41,3,93,1214,1002,190,19,0,12,0.0,0.04,0.04,2,0.08,0.34,0.08,3.5,45.68,37.7,7.15,0.71,0.0,0.45,1.62,3.8,0.94,1.54,0.11,0.0
60,1538,Defender,LaLiga 2,D. Tasende,Real Zaragoza,35,2369,7,34.0,9,2,23,85,39,32,6,103,941,651,195,122,7,34,0.0,0.08,0.27,9,0.34,1.29,0.34,3.91,35.75,24.73,7.41,4.63,0.27,1.29,0.87,3.23,1.48,1.22,0.23,0.0
61,1539,Defender,LaLiga 2,J. Gayá,CD Lugo,25,941,1,6.0,0,0,27,44,12,28,0,62,410,335,57,0,1,2,0.0,0.0,0.1,1,0.1,0.57,0.0,5.93,39.21,32.04,5.45,0.0,0.1,0.19,2.58,4.21,1.15,2.68,0.0,0.0
62,1540,Defender,LaLiga 2,A. Rahim,Real Oviedo,39,2141,1,4.0,1,0,47,69,35,25,0,100,985,771,96,68,3,12,0.0,0.0,0.04,1,0.04,0.17,0.04,4.2,41.41,32.41,4.04,2.86,0.13,0.5,1.98,2.9,1.47,1.05,0.0,0.0
63,1541,Defender,LaLiga 2,P. Tomeo,Real Valladolid,45,3372,0,20.0,7,4,101,171,45,58,4,197,1412,1077,267,10,2,9,0.0,0.11,0.0,4,0.11,0.53,0.19,5.26,37.69,28.75,7.13,0.27,0.05,0.24,2.7,4.56,1.2,1.55,0.11,0.0
64,1542,Defender,LaLiga 2,Marvel,Leganés,37,2021,0,10.0,2,0,40,60,18,31,3,112,1130,960,152,2,0,5,0.0,0.0,0.0,0,0.0,0.45,0.09,4.99,50.32,42.75,6.77,0.09,0.0,0.22,1.78,2.67,0.8,1.38,0.13,0.0
65,1543,Defender,LaLiga 2,BMB. Martínez,Burgos Club de Fútbol,25,1386,0,7.0,2,0,53,42,17,19,1,100,596,448,84,29,0,9,0.0,0.0,0.0,0,0.0,0.45,0.13,6.49,38.7,29.09,5.45,1.88,0.0,0.58,3.44,2.73,1.1,1.23,0.06,0.0
66,1544,Defender,LaLiga 2,C. Puga,Málaga,39,2197,0,7.0,2,0,86,56,24,13,1,181,761,566,99,75,1,29,0.0,0.0,0.0,0,0.0,0.29,0.08,7.41,31.17,23.19,4.06,3.07,0.04,1.19,3.52,2.29,0.98,0.53,0.04,0.0
68,1546,Defender,LaLiga 2,A. Dadie,Real Sociedad B,39,150,0,1.0,1,0,9,4,1,1,0,16,35,27,2,6,0,2,0.0,0.0,0.0,0,0.0,0.6,0.6,9.6,21.0,16.2,1.2,3.6,0.0,1.2,5.4,2.4,0.6,0.6,0.0,0.0
69,1547,Defender,LaLiga 2,LAL. Aguilar,Leganés,40,2696,1,12.0,1,0,27,197,20,36,3,76,1187,987,240,1,2,3,0.0,0.0,0.03,1,0.03,0.4,0.03,2.54,39.63,32.95,8.01,0.03,0.07,0.1,0.9,6.58,0.67,1.2,0.1,0.0
71,1549,Defender,LaLiga 2,M. Luna,Almería,36,1436,2,5.0,3,2,34,30,14,24,1,91,570,411,73,50,8,32,0.0,0.13,0.13,4,0.25,0.31,0.19,5.7,35.72,25.76,4.58,3.13,0.5,2.01,2.13,1.88,0.88,1.5,0.06,0.0
72,1550,Defender,LaLiga 2,D. Murillo,Málaga,28,782,0,7.0,1,1,18,35,4,23,1,55,452,376,67,3,0,1,0.0,0.12,0.0,1,0.12,0.81,0.12,6.33,52.02,43.27,7.71,0.35,0.0,0.12,2.07,4.03,0.46,2.65,0.12,0.0
74,1552,Defender,LaLiga 2,H. Arrillaga,Eibar,42,1583,0,7.0,1,0,35,65,21,12,2,67,577,429,93,44,2,17,0.0,0.0,0.0,0,0.0,0.4,0.06,3.81,32.8,24.39,5.29,2.5,0.11,0.97,1.99,3.7,1.19,0.68,0.11,0.0
75,1553,Defender,LaLiga 2,I. Merino,Málaga,39,1212,2,12.0,3,0,15,26,6,15,2,41,540,470,40,5,2,11,0.0,0.0,0.15,2,0.15,0.89,0.22,3.04,40.1,34.9,2.97,0.37,0.15,0.82,1.11,1.93,0.45,1.11,0.15,0.0
78,1556,Defender,LaLiga 2,CÁC. Álvarez,CD Tenerife,20,729,0,4.0,0,0,12,29,7,10,0,28,232,187,19,19,0,8,0.0,0.0,0.0,0,0.0,0.49,0.0,3.46,28.64,23.09,2.35,2.35,0.0,0.99,1.48,3.58,0.86,1.23,0.0,0.0
79,1557,Defender,LaLiga 2,H. Rincón,Girona FC,43,3591,5,30.0,12,3,85,76,27,46,5,234,961,749,81,80,6,30,0.0,0.08,0.13,8,0.2,0.75,0.3,5.86,24.09,18.77,2.03,2.01,0.15,0.75,2.13,1.9,0.68,1.15,0.13,0.0
80,1558,Defender,LaLiga 2,J. Cabello,Mirandés,38,1459,0,0.0,0,0,14,73,13,26,0,51,821,737,85,0,0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,3.15,50.64,45.46,5.24,0.0,0.0,0.06,0.86,4.5,0.8,1.6,0.0,0.0
83,1561,Forward,LaLiga 2,Á. Rodríguez,CF Fuenlabrada,38,992,0,26.0,9,1,14,14,3,11,6,42,171,128,9,3,2,8,0.0,0.09,0.0,1,0.09,2.36,0.82,3.81,15.51,11.61,0.82,0.27,0.18,0.73,1.27,1.27,0.27,1.0,0.54,0.0
84,1562,Forward,LaLiga 2,A. Ortuño,FC Cartagena,42,1133,0,20.0,5,0,10,12,2,37,6,64,263,168,15,4,1,5,0.0,0.0,0.0,0,0.0,1.59,0.4,5.08,20.89,13.35,1.19,0.32,0.08,0.4,0.79,0.95,0.16,2.94,0.48,0.0
85,1563,Forward,LaLiga 2,S. Enrich,Real Zaragoza,40,2177,0,31.0,12,7,20,18,6,74,5,120,526,378,18,5,1,14,0.0,0.29,0.0,7,0.29,1.28,0.5,4.96,21.75,15.63,0.74,0.21,0.04,0.58,0.83,0.74,0.25,3.06,0.21,0.0
